SKU,Brand,Category,Gender,Diameter,Atm,Case_Size,Case_Material,Case_Color,Dial_Color,Strap_Material,Strap_Color,Regular_Price
watch_453,knydkyn,Watch,Female,34.0,5.0,Small,Stainless Steel,Gold,Black,Metal Bracelet,Gold,2698.0
watch_454,knydkyn,Watch,Female,34.0,5.0,Small,Stainless Steel,Rose Gold,Rose Gold,Metal Bracelet,Rose Gold,2570.0
watch_455,knydkyn,Watch,Female,28.0,5.0,Small,Stainless Steel,Silver,Silver,Metal Bracelet,Silver,2269.0
watch_456,knydkyn,Watch,Female,28.0,5.0,Small,Stainless Steel,Rose Gold,White,Metal Bracelet,Rose Gold,2141.0
watch_457,knydkyn,Watch,Female,28.0,5.0,Small,Stainless Steel,Silver,Silver,Metal Bracelet,Two Tone,2269.0
watch_458,knydkyn,Watch,Female,29.0,5.0,Small,Stainless Steel,Rose Gold,White,Ceramic,White,2141.0
watch_459,knydkyn,Watch,Female,36.0,5.0,Medium,Stainless Steel,Silver,White,Metal Bracelet,Silver,2269.0
watch_460,knydkyn,Watch,Female,36.0,5.0,Medium,Stainless Steel,Gold,White,Metal Bracelet,Gold,2141.0
watch_461,knydkyn,Watch,Female,36.0,5.0,Medium,Stainless Steel,Rose Gold,White,Metal Bracelet,Rose Gold,2269.0
watch_462,knydkyn,Watch,Female,36.0,5.0,Medium,Stainless Steel,Gold,White,Leather,Black,2141.0
watch_463,knydkyn,Watch,Female,28.0,5.0,Small,Stainless Steel,Rose Gold,White,Metal Bracelet,Rose Gold,1840.0
watch_464,knydkyn,Watch,Female,28.0,5.0,Small,Stainless Steel,Silver,White,Metal Bracelet,Two Tone,1712.0
watch_465,knydkyn,Watch,Female,34.0,5.0,Small,Stainless Steel,Rose Gold,Rose Gold,Metal Bracelet,Rose Gold,1497.0
watch_466,knydkyn,Watch,Female,28.0,5.0,Small,Stainless Steel,Silver,Silver,Metal Bracelet,Two Tone,1583.0
watch_467,knydkyn,Watch,Female,34.0,5.0,Small,Stainless Steel,Rose Gold,Cream,Leather,Cream,1497.0
watch_468,knydkyn,Watch,Female,28.0,5.0,Small,Stainless Steel,Gold,White,Metal Bracelet,Gold,1583.0
watch_469,knydkyn,Watch,Female,24.0,3.0,Small,Stainless Steel,Rose Gold,Rose Gold,Metal Bracelet,Rose Gold,1283.0
watch_470,torsero,Watch,Male,43.0,10.0,Large,Stainless Steel,Silver,Black,Silicone,Black,1283.0
watch_471,torsero,Watch,Male,43.0,10.0,Large,Stainless Steel,Silver,Blue,Silicone,Blue,1840.0
watch_472,torsero,Watch,Male,43.0,10.0,Large,Stainless Steel,Silver,Black,Silicone,Black,1712.0
watch_473,torsero,Watch,Male,49.0,10.0,X-Large,Plastic,Black,LCD,Silicone,Black,1583.0
watch_474,torsero,Watch,Male,47.0,10.0,X-Large,Plastic,Blue,Black,Leather,Blue,1411.0
watch_475,torsero,Watch,Male,50.0,10.0,X-Large,Plastic,Black,Black,Fabric,Black,596.0
